Reporting Year,Building ID,Building Status,Property Address Street*,Property Address City*,Property Address Postal Code*, Assessor Gross Floor Area* , Reported Gross Floor Area** ,Primary Property Type**,Energy Star Certification - Years Certified**,Energy Star Certification Recent**,Energy Star Score**,Site EUI**,Source EUI**,Weather Normalized Site EUI**,Weather Normalized Source EUI**,Total GHG Emissions**, Electricity Use Grid Purchase and Onsite (KWh)** , Electricity Use Grid Purchase (KWh)** , Natural Gas Use (kBtu)** , Natural Gas Use (therms)** ,District Chilled Water Use**,District Hot Water Use**,District Steam Use**,Indoor Water Use All Water Sources**,Indoor Water Intensity All Water Sources**,Outdoor Water Use All Water Sources**,Water Use**,Water Score**
2023,M10006,in compliance,1 Se 3 Ave,Miami,33131,"770,195","482,206",Office,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2010, 2009",2022,81,38.2,107.1,37.9,106.2,2054.5,"5,403,834","5,403,833", -   , -   ,0,0,0,0,0,0,9892.4,0
2023,M10008,in compliance,10 Sw South River Dr,Miami,33130,"774,300","185,814",Multifamily Housing,0,0,69,45.9,128.6,44.8,125.4,950.6,"2,500,309","2,500,309", -   , -   ,0,0,0,0,0,0,0,0
2023,M10010,in compliance,100 Se 2 St,Miami,33131,"610,395","664,078",Office,0,0,71,40.1,112.4,39.4,110.2,2969.8,"7,811,194","7,811,193",100,1,0,0,0,0,0,0,9359.5,0
2023,M10013,in compliance,1000 Nw 42 Ave,Miami,33126,"108,187","108,187",Hotel,0,0,66,69.8,163.3,68.2,158.8,725.3,"1,630,765","1,630,765","1,982,766","19,828",0,0,0,0,0,0,3558,0
2023,M10015,in compliance,1001 Brickell Bay Dr,Miami,33131,"517,450","287,927",Office,0,0,83,41.4,115.9,40.9,114.5,1327.7,"3,492,012","3,492,012", -   , -   ,0,0,0,2484.2,8.6,0,2484.2,0
2023,M10016,in compliance,1001 Nw 54 St,Miami,33127,"104,989","104,989",Multifamily Housing,0,0,91,32.3,90.6,31.9,89.4,378.4,"995,303","995,303", -   , -   ,0,0,0,0,0,0,4877.6,32
2023,M10019,in compliance,1010 S Miami Ave,Miami,33130,"1,160,232","474,430",Multifamily Housing,0,0,94,30,83.5,30.7,85.5,1578.2,"4,131,403","4,131,403","141,077","1,411",0,0,0,0,0,0,21753.5,27
2023,M10020,in compliance,1011 Nw Sunnybrook Rd,Miami,33136,"132,408","132,408",Other,0,0,0,25.5,71.3,24.2,67.8,374.7,"987,873","987,873", -   , -   ,0,0,0,0,0,0,246.4,0
2023,M10022,in compliance,1040 Biscayne Blvd,Miami,33132,"1,160,553","354,976",Multifamily Housing,0,0,32,55,148,54.5,145.9,2105,"5,365,087","5,365,086","1,227,349","12,274",0,0,0,15709.5,44.3,0,15709.5,19
2023,M10027,in compliance,110 Sw 10 St,Miami,33130,"159,708","145,704",Multifamily Housing,0,0,90,29.5,82.7,29.5,82.7,478.6,"1,261,680","1,261,680", -   , -   ,0,0,0,0,0,0,5832.9,30
